hart,time
341,2023-01-29 11:24:28.604768
339,2023-01-29 11:24:28.730386
340,2023-01-29 11:24:28.730661
343,2023-01-29 11:24:28.731132
342,2023-01-29 11:24:28.731540
340,2023-01-29 11:24:28.731796
341,2023-01-29 11:24:28.732234
342,2023-01-29 11:24:28.732451
341,2023-01-29 11:24:28.732813
339,2023-01-29 11:24:28.733086
342,2023-01-29 11:24:28.733201
344,2023-01-29 11:24:28.733482
341,2023-01-29 11:24:28.733876
339,2023-01-29 11:24:28.734358
341,2023-01-29 11:24:28.734620
342,2023-01-29 11:24:28.734957
339,2023-01-29 11:24:28.735270
338,2023-01-29 11:24:28.735550
343,2023-01-29 11:24:28.735874
343,2023-01-29 11:24:28.736388
340,2023-01-29 11:24:28.736607
342,2023-01-29 11:24:28.736750
349,2023-01-29 11:24:28.736987
349,2023-01-29 11:24:28.737844
347,2023-01-29 11:24:28.738624
348,2023-01-29 11:24:28.738871
354,2023-01-29 11:24:28.739399
362,2023-01-29 11:24:28.740091
365,2023-01-29 11:24:28.740288
366,2023-01-29 11:24:28.822328
364,2023-01-29 11:24:28.823723
358,2023-01-29 11:24:28.824353
351,2023-01-29 11:24:28.824839
349,2023-01-29 11:24:28.825302
345,2023-01-29 11:24:28.826089
339,2023-01-29 11:24:28.826520
333,2023-01-29 11:24:28.826737
335,2023-01-29 11:24:28.827049
335,2023-01-29 11:24:28.827851
332,2023-01-29 11:24:28.828114
331,2023-01-29 11:24:28.828696
333,2023-01-29 11:24:28.829498
333,2023-01-29 11:24:28.829862
330,2023-01-29 11:24:28.830257
331,2023-01-29 11:24:28.830421
334,2023-01-29 11:24:28.831161
335,2023-01-29 11:24:28.909249
341,2023-01-29 11:24:28.909967
338,2023-01-29 11:24:28.910505
304,2023-01-29 11:24:28.911116
292,2023-01-29 11:24:28.911371
392,2023-01-29 11:24:28.911713
541,2023-01-29 11:24:28.912181
520,2023-01-29 11:24:28.912526
403,2023-01-29 11:24:28.912820
291,2023-01-29 11:24:28.913105
209,2023-01-29 11:24:28.913809
213,2023-01-29 11:24:28.914157
272,2023-01-29 11:24:28.915093
295,2023-01-29 11:24:28.915543
287,2023-01-29 11:24:28.916317
290,2023-01-29 11:24:28.916674
301,2023-01-29 11:24:28.917069
304,2023-01-29 11:24:29.010471
305,2023-01-29 11:24:29.011518
307,2023-01-29 11:24:29.011811
306,2023-01-29 11:24:29.012274
309,2023-01-29 11:24:29.013211
313,2023-01-29 11:24:29.013559
313,2023-01-29 11:24:29.014252
312,2023-01-29 11:24:29.014911
314,2023-01-29 11:24:29.015683
319,2023-01-29 11:24:29.015807
320,2023-01-29 11:24:29.016035
318,2023-01-29 11:24:29.016243
319,2023-01-29 11:24:29.016705
321,2023-01-29 11:24:29.016996
321,2023-01-29 11:24:29.017159
319,2023-01-29 11:24:29.017751
321,2023-01-29 11:24:29.017971
323,2023-01-29 11:24:29.018187
320,2023-01-29 11:24:29.018450
317,2023-01-29 11:24:29.063434
319,2023-01-29 11:24:29.063831
320,2023-01-29 11:24:29.064101
318,2023-01-29 11:24:29.064460
316,2023-01-29 11:24:29.065685
318,2023-01-29 11:24:29.066298
319,2023-01-29 11:24:29.066560
317,2023-01-29 11:24:29.067151
316,2023-01-29 11:24:29.067981
318,2023-01-29 11:24:29.068264
319,2023-01-29 11:24:29.124711
319,2023-01-29 11:24:29.126116
322,2023-01-29 11:24:29.126675
326,2023-01-29 11:24:29.127322
328,2023-01-29 11:24:29.127934
326,2023-01-29 11:24:29.128928
329,2023-01-29 11:24:29.129742
335,2023-01-29 11:24:29.130169
337,2023-01-29 11:24:29.130644
337,2023-01-29 11:24:29.131164
342,2023-01-29 11:24:29.131608
348,2023-01-29 11:24:29.132006
349,2023-01-29 11:24:29.185767
349,2023-01-29 11:24:29.186206
351,2023-01-29 11:24:29.186384
353,2023-01-29 11:24:29.186719
352,2023-01-29 11:24:29.187288
353,2023-01-29 11:24:29.187693
355,2023-01-29 11:24:29.188013
357,2023-01-29 11:24:29.188353
354,2023-01-29 11:24:29.188962
351,2023-01-29 11:24:29.189632
353,2023-01-29 11:24:29.189972
353,2023-01-29 11:24:29.193472
350,2023-01-29 11:24:29.198114
348,2023-01-29 11:24:29.202086
350,2023-01-29 11:24:29.249461
350,2023-01-29 11:24:29.250261
346,2023-01-29 11:24:29.250718
346,2023-01-29 11:24:29.251029
349,2023-01-29 11:24:29.251386
349,2023-01-29 11:24:29.252031
347,2023-01-29 11:24:29.252371
347,2023-01-29 11:24:29.252913
350,2023-01-29 11:24:29.253346
349,2023-01-29 11:24:29.311369
